CREATION_DATE,Sales_Channel,Party_Name,Account_Number,Account_Name,Order_Number,Order_Line_Id,Item_Cat_New,SKU,List_Price,Total_Discount,Discount_Sub_Category_1,Discount_Sub_Category_2,Discount_Sub_Category_3,Gross_Sales,Cost_of_Goods_Sold,Other_Cost_of_Goods_Sold,Gross_Margin,Total_Units_sold,Creation_Date_Only,Creation_Time
2025-01-15 15:13:07,Sales Channel 6,Party 1741,1007680,Customer Name1559,202521867,11100001,Item Category60,SKU140,3016,-434,-434,0,0,2582,-1413.357,-196.793,971.85,1,2025-01-15,15:13:07
2025-02-06 22:12:27,Sales Channel 6,Party 1741,1007680,Customer Name1559,203036930,11100002,Item Category104,SKU510,2348,-367.28,-367.2799988,0,0,1980.72,-927.45,-182.72,870.55,1,2025-02-06,22:12:27
2025-01-07 08:11:55,Sales Channel 4,Party 995,1012488,Customer Name7281,202405926,11100003,Item Category102,SKU126,74112,-724,0,-23168,0,50944,-38223.642,1630.72,14351.078,32,2025-01-07,08:11:55
2025-01-02 11:09:51,Sales Channel 6,Party 2080,1007105,Customer Name2448,202747388,11100004,Item Category15,SKU327,5116,-2456,-2456,0,0,2660,-1961.354,-133.64,565.006,1,2025-01-02,11:09:51
2025-02-14 22:20:33,Sales Channel 6,Party 1741,1007680,Customer Name1559,203048082,11100005,Item Category102,SKU1497,1908,-241.68,-241.6799927,0,0,1666.32,-1188.061,50.96,529.219,1,2025-02-14,22:20:33
2025-02-17 22:19:52,Sales Channel 6,Party 1741,1007680,Customer Name1559,202727751,11100006,Item Category34,SKU281,1820,-31.88,-31.87999916,0,0,1788.12,-542.13,-62.72,1183.27,1,2025-02-17,22:19:52
2025-01-29 08:12:14,Sales Channel 4,Party 299,1005039,Customer Name4732,202790295,11100007,Item Category55,SKU989,10356,-2960,-1840,-1120,0,7396,-3413.108,-144.72,3838.172,1,2025-01-29,08:12:14
2025-02-12 08:17:52,Sales Channel 6,Party 1741,1007680,Customer Name1559,202426647,11100008,Item Category123,SKU2765,5232,-91.56,-91.55999756,0,0,5140.44,-1258.593,-103,3778.847,1,2025-02-12,08:17:52
2025-02-06 11:07:19,Sales Channel 10,Party 1908,1005596,Customer Name3964,202435772,11100009,Item Category114,SKU1493,362,0,0,0,0,362,-100.24,-11.64,250.12,1,2025-02-06,11:07:19
2025-02-06 15:19:42,Sales Channel 6,Party 2823,1003018,Customer Name6013,202770024,11100010,Item Category87,SKU1999,21112,-4465.84,-8931.679688,0,0,12180.32,-14222.967,1282.32,-760.327,2,2025-02-06,15:19:42
2025-01-27 08:06:58,Sales Channel 6,Party 2009,1003971,Customer Name623,202801848,11100011,Item Category62,SKU2396,2392,0,0,0,0,2392,-1459.144,53.4,986.256,1,2025-01-27,08:06:58
2025-02-21 08:12:45,Sales Channel 6,Party 2293,1001341,Customer Name3206,202638940,11100012,Item Category60,SKU665,6552,-400,-800,0,0,5752,-2728.58,-371.12,2652.3,2,2025-02-21,08:12:45
2025-01-30 15:15:03,Sales Channel 4,Party 139,1002370,Customer Name6103,202946092,11100013,Item Category34,SKU918,788,0,0,0,0,788,-419.568,-54.36,314.072,1,2025-01-30,15:15:03
2025-01-30 18:12:59,Sales Channel 4,Party 1537,1013817,Customer Name4924,202575600,11100014,Item Category23,SKU2385,264,0,0,0,0,264,-155.56,-20.72,87.72,1,2025-01-30,18:12:59
2025-02-04 08:11:49,Sales Channel 6,Party 1741,1007680,Customer Name1559,202494229,11100015,Item Category27,SKU1772,2924,-569.96,-569.960022,0,0,2354.04,-1741.146,7.36,620.254,1,2025-02-04,08:11:49
2025-01-20 15:10:18,Sales Channel 6,Party 1741,1007680,Customer Name1559,202560385,11100016,Item Category34,SKU1725,964,-292,-292,0,0,672,-393.145,-46.08,232.775,1,2025-01-20,15:10:18
2025-01-21 22:21:04,Sales Channel 4,Party 755,1010963,Customer Name4447,203054486,11100017,Item Category34,SKU2242,596,0,0,0,0,596,-419.664,-54.36,121.976,1,2025-01-21,22:21:04
2025-01-21 22:20:53,Sales Channel 6,Party 1741,1007680,Customer Name1559,202854937,11100018,Item Category102,SKU1173,1404,-24.6,-24.60000038,0,0,1379.4,-1184.463,50.96,245.897,1,2025-01-21,22:20:53
2025-01-14 15:12:14,Sales Channel 6,Party 1741,1007680,Customer Name1559,202507801,11100019,Item Category34,SKU596,2112,-166.68,-166.6799927,0,0,1945.32,-1190.617,-70.92,683.783,1,2025-01-14,15:12:14
2025-02-12 15:12:26,Sales Channel 6,Party 2709,1012459,Customer Name823,202451705,11100020,Item Category52,SKU2448,27840,-44,0,-1760,0,26080,-14098.976,-801.6,11179.424,40,2025-02-12,15:12:26
2025-02-27 08:12:50,Sales Channel 6,Party 1741,1007680,Customer Name1559,202690824,11100021,Item Category33,SKU949,3292,-552.8,-552.7999878,0,0,2739.2,-1587.271,-134.72,1017.209,1,2025-02-27,08:12:50
2025-02-10 15:13:18,Sales Channel 4,Party 2241,1014026,Customer Name26,203004938,11100022,Item Category52,SKU744,1464,0,0,0,0,1464,-418.902,-51.64,993.458,1,2025-02-10,15:13:18
2025-01-19 18:03:36,Sales Channel 4,Party 278,1005059,Customer Name564,203005606,11100023,Item Category57,SKU2274,1196,0,0,0,0,1196,-621.76,-34.56,539.68,1,2025-01-19,18:03:36
2025-01-06 22:10:41,Sales Channel 6,Party 2773,1004877,Customer Name6217,202740248,11100024,Item Category62,SKU1135,3036,-1224,-1224,0,0,1812,-1498.294,61.24,374.946,1,2025-01-06,22:10:41
2025-01-02 15:17:47,Sales Channel 6,Party 1302,1014305,Customer Name463,202967799,11100025,Item Category87,SKU2009,13616,0,0,0,0,13616,-5788.57,-585.48,7241.95,1,2025-01-02,15:17:47
2025-02-08 08:10:18,Sales Channel 6,Party 1741,1007680,Customer Name1559,202801271,11100026,Item Category102,SKU1692,2348,-555.92,-555.9199829,0,0,1792.08,-1243.848,42.4,590.632,1,2025-02-08,08:10:18
2025-02-27 11:14:45,Sales Channel 6,Party 847,1001461,Customer Name5900,202486203,11100027,Item Category49,SKU1043,2488,-342.4,-36.79999924,-648,0,1803.2,-982.61,-132.32,688.27,2,2025-02-27,11:14:45
2025-01-02 22:16:13,Sales Channel 6,Party 1741,1007680,Customer Name1559,202901811,11100028,Item Category102,SKU1447,2940,-758.88,-758.8800049,0,0,2181.12,-1694.218,26.12,513.022,1,2025-01-02,22:16:13
